Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
035a5896-eb40-4b41-bd9f-5afffabb4796	1	0.848	1.497	149.7%	0.765	76.5%	1.38113	0.87
035aeea9-9a13-4b41-9af6-29a4fa477765	51	0.759	45.488	89.192%	5.884	65.378%	0.75808	0.607
035bb1e9-65ef-438d-946a-7c7fe26d1078	391	0.992	94.954	24.285%	16.911	12.902%	0.14737	0.991
0361d7ff-535c-4447-93f3-adcce01b9943	1315	0.987	304.795	23.178%	44.066	16.478%	0.09211	0.982
03653be8-6434-4427-9881-4d0193f39cc7	62	0.732	58.432	94.245%	7.77	68.147%	0.78735	0.577
036991df-8882-4947-9bd4-eda500180f43	69	0.805	59.858	86.751%	8.278	59.586%	0.70837	0.726
036b8a0b-a322-45fd-88f6-b2aa8b578dbf	109	0.85	68.214	62.582%	9.281	52.969%	0.44303	0.736
036fe77d-bf81-46fb-b491-c66320c36626	245	0.926	104.631	42.707%	15.487	38.395%	0.21738	0.879
03700c01-e297-490b-b6b6-ece4d56ec70f	58	0.643	56.325	97.112%	7.139	77.893%	0.90188	0.26
03707e4f-5879-4c13-bde7-6a9bb24dfb7d	368	0.907	174.966	47.545%	28.161	42.177%	0.28112	0.861
037224ea-d214-4461-8654-d823b6560089	27	0.6	30.992	114.785%	4.478	80.427%	1.12387	0.404
03749ee3-2015-44c6-8ce5-24873a809f44	67	0.884	48.485	72.366%	7.187	46.883%	0.65557	0.854
03799bfa-ec7e-4dbd-9c6e-09fc291dd454	20	0.446	30.085	150.425%	4.265	90.93%	1.76936	0.212
037a99e0-5010-4733-9b6e-c4076923c3cb	4310	0.955	1581.976	36.705%	238.051	30.516%	0.16101	0.936
037d1de1-4703-4c5d-b918-cd23a8909198	22	0.815	18.083	82.195%	3.968	64.369%	1.55155	0.79
037dc2bf-c2cd-4eb4-be86-442700bd9691	13	0.571	19.032	146.4%	3.393	82.292%	1.77872	0.501
0383fa1c-6d54-411b-bd77-176ac3f36d58	2	0.541	2.518	125.9%	1.207	85.348%	17.83443	0.528
03874f9f-96f2-409d-b1d2-308a52fb0a51	183	0.928	104.315	57.003%	14.418	37.49%	0.33387	0.905
0391c980-ddd7-4a2c-a62c-ed8d13a014ef	126	0.818	84.443	67.018%	11.922	57.898%	0.42827	0.68
0398a262-dbb5-4ea7-a63e-dfeb8dac7a6c	18	0.721	21.53	119.611%	3.567	69.955%	1.30716	0.673
03992351-6fa7-425b-96b4-159af36d6849	25	0.594	32.853	131.412%	4.761	80.476%	1.49474	0.455
039bf595-df80-4ad8-83ce-6a0717f4c25b	657	0.986	169.332	25.774%	35.451	17.171%	0.12551	0.985
03a20912-8d43-4922-8f7c-7a7425347529	46	0.895	31.532	68.548%	7.055	44.62%	0.65608	0.884
03a436ed-140c-4147-b6a2-f2413259711e	24	0.879	16.608	69.2%	3.313	47.819%	0.78662	0.86
03a7b362-714b-4e2b-9464-9ddec4cafbff	62	0.893	48.864	78.813%	7.023	45.911%	0.69057	0.871
03a7baf1-efb0-415a-8c42-c7a2c8cd5b54	30	0.772	28.551	95.17%	5.11	65.97%	1.26037	0.727
03add666-b87c-414c-8695-5667f3b599c1	1636	0.964	461.152	28.188%	68.767	26.789%	0.09158	0.938
03ae53d3-8989-4395-b7b6-7e4409821f02	73	0.84	53.563	73.374%	7.054	54.915%	0.56656	0.75
03b4fbeb-7e2d-46ae-b9a2-6a9e777c5f70	196	0.95	89.346	45.585%	16.838	31.278%	0.23788	0.942
03b6d917-7556-4ecd-aa63-0292bcb96706	10	0.823	11.517	115.17%	2.59	64.75%	1.10782	0.83
03b83c30-25c4-45ac-96e8-ab1d9257fd62	123	0.905	75.184	61.125%	10.766	42.791%	0.42888	0.871
03b85dd9-58d7-46a5-8948-d3892fc9a572	12	0.706	13.728	114.4%	3.227	76.061%	2.60241	0.679
03c6f215-75e8-4dbf-a6c6-8a7938f95e75	57	0.924	42.312	74.232%	7.543	39.482%	0.82213	0.917
03c7ab9e-d98c-4f02-8d88-fbe1fb390b10	23	0.729	25.152	109.357%	3.935	68.5%	1.11503	0.663
03cc3c72-2ce1-45a6-b262-1aa3ef382ea1	26	0.809	26.909	103.496%	4.871	59.07%	1.26652	0.784
03cfb795-f579-4e2b-8345-c09c307ee748	4	0.488	6.139	153.475%	1.746	87.3%	2.53119	0.453
03d908dc-2722-438f-a3ad-b0516c4c5b35	65	0.838	51.693	79.528%	7.764	55.316%	0.74271	0.788
03d96417-2dc0-40d5-b946-298115320cfe	23	0.821	20.521	89.222%	4.483	58.364%	1.20222	0.801
03dc9551-3db5-43e2-9b72-116898437fd1	55	0.858	47.713	86.751%	7.193	51.51%	0.68639	0.828
03df9e9f-d258-4ee5-94fa-c0461fb84d7f	26	0.708	31.516	121.215%	4.59	70.825%	1.11891	0.636
03dfb83a-f803-4380-8681-b3ebc2ffee29	28	0.735	27.912	99.686%	4.078	67.967%	1.00463	0.638
03e605d8-9501-4392-9b55-2327417d6980	24	0.932	14.735	61.396%	3.232	38.63%	0.59955	0.927
03e76a51-780e-4d05-8aa8-9f7bd5388f8c	7	0.93	4.525	64.643%	1.321	39.83%	0.90609	0.928
03f2ec81-9e6a-4796-a4a7-0bb766af0816	1	0.988	0.657	65.7%	0.345	34.5%	0.39828	0.989
03f5fc53-07fd-4c28-8319-6aa015732b2c	136	0.916	90.406	66.475%	13.123	40.46%	0.47076	0.897
03f8b4bd-d6ae-4c64-9b8a-6969ba587c69	3	0.634	4.069	135.633%	1.357	78.346%	1.99354	0.621
03f8f898-3d4e-45f8-ae54-8630819ddc8f	7	0.786	7.421	106.014%	1.71	64.632%	0.91033	0.773
03fa7ecc-0ca4-4f36-a0c8-1d9f7afa8d95	102	0.953	64.791	63.521%	9.985	31.022%	0.66932	0.947
03fe082c-13d3-4e88-85bc-f04e643d8e15	95	0.854	64.368	67.756%	8.684	51.99%	0.47919	0.77
03fe4eb0-5bbb-40d2-ba71-281fb71d3bc4	11	0.807	11.119	101.082%	2.454	59.518%	1.2078	0.79
0407a2f3-34de-4ba4-bcdd-7cc58723366e	40	0.695	42.526	106.315%	5.741	72.911%	1.04197	0.553
04112208-fe72-4da6-84b7-84f7992c8966	5	0.656	6.083	121.66%	1.693	75.713%	2.4081	0.632
041a131d-94ef-4b92-8c7c-175b11b4ceab	31	0.791	32.688	105.445%	4.698	61.163%	1.06668	0.741
041c1056-f2f8-408b-ae6c-9071f57b9bff	10	0.532	13.456	134.56%	2.704	85.508%	2.00395	0.452
041e2e3f-9452-48a5-950f-483d70618cb7	10	0.772	10.523	105.23%	2.384	63.715%	1.44029	0.751
041fa7cc-eb10-4fcf-868c-07b17fc55024	20	0.834	18.4	92.0%	3.494	55.245%	1.22719	0.812
04259b6e-cd37-49ed-b080-49df301a53a7	97	0.825	69.488	71.637%	9.117	57.546%	0.57329	0.7
0428ec6d-0193-4a94-9935-9a7dcdec821a	62	0.774	59.91	96.629%	7.877	68.56%	0.97176	0.681
042a6a25-0697-4efe-bd74-43c0fac331a8	63	0.851	47.02	74.635%	7.452	53.921%	0.66112	0.808
042c1f62-bf18-4899-bfa0-8d01f0948d78	11	0.879	9.774	88.855%	3.255	52.122%	0.95234	0.877
042ce187-6ebd-4693-a66e-99b500c4e7fd	76	0.778	65.27	85.882%	8.891	63.186%	0.73065	0.662
043349e2-2516-463c-b9b5-75b2cebf6a92	15	0.63	18.585	123.9%	3.456	79.286%	1.73401	0.566
04341fd6-7bc6-460a-9d0e-1c97b425aa9a	22	0.627	28.053	127.514%	3.821	77.996%	1.2416	0.484
0436d4ca-881f-4367-9dcf-34a64f2c4a2b	9	0.779	9.251	102.789%	2.086	62.895%	1.56637	0.758
043e984e-1b97-424e-9aef-b92519b026c5	17	0.664	20.092	118.188%	4.417	76.89%	2.08883	0.625
043fd083-a28b-4576-82ca-f5dc9ee47738	175	0.917	88.258	50.433%	11.385	42.697%	0.27865	0.86
0444b05e-cf6e-4aae-8f23-2169589d20c1	71	0.824	53.23	74.972%	6.658	56.883%	0.59179	0.696
